Solution,Body 1 Position (x, z, y),Body 1 Velocity (vx, vz, vy),Body 2 Position (x, z, y),Body 2 Velocity (vx, vz, vy),Body 3 Position (x, z, y),Body 3 Velocity (vx, vz, vy)
Lagrange's Triangle,(1, 0, 0),(0, sqrt(3/4), 0),(-1/2, sqrt(3)/2, 0),(-sqrt(3)/2, -1/4, 0),(-1/2, -sqrt(3)/2, 0),(sqrt(3)/2, -1/4, 0)
Figure-Eight (Approx.),(0.97000436, -0.24308753, 0),(-0.466203685, -0.43236573, 0),(-0.97000436, 0.24308753, 0),(-0.466203685, -0.43236573, 0),(0, 0, 0),(0.93240737, 0.86473146, 0)
